
Image Name                     PID Services                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Registry                       100 N/A                                         
smss.exe                       480 N/A                                         
csrss.exe                      636 N/A                                         
wininit.exe                    720 N/A                                         
csrss.exe                      728 N/A                                         
winlogon.exe                   788 N/A                                         
services.exe                   860 N/A                                         
lsass.exe                      880 EFS, KeyIso, SamSs, VaultSvc                
svchost.exe                    992 BrokerInfrastructure, DcomLaunch, PlugPlay, 
                                   Power, SystemEventsBroker                   
fontdrvhost.exe                 68 N/A                                         
fontdrvhost.exe                432 N/A                                         
WUDFHost.exe                   504 N/A                                         
svchost.exe                   1032 RpcEptMapper, RpcSs                         
svchost.exe                   1092 LSM                                         
WUDFHost.exe                  1152 N/A                                         
dwm.exe                       1248 N/A                                         
svchost.exe                   1396 NcbService                                  
svchost.exe                   1512 EventLog                                    
svchost.exe                   1520 DisplayEnhancementService                   
svchost.exe                   1544 Schedule                                    
svchost.exe                   1564 EventSystem                                 
svchost.exe                   1628 CoreMessagingRegistrar                      
svchost.exe                   1636 ProfSvc                                     
svchost.exe                   1756 SENS                                        
svchost.exe                   1788 nsi                                         
igfxCUIService.exe            1864 igfxCUIService2.0.0.0                       
svchost.exe                   1876 UserManager                                 
svchost.exe                   1936 TimeBrokerSvc                               
svchost.exe                   1948 Dhcp                                        
svchost.exe                   2128 DispBrokerDesktopSvc                        
svchost.exe                   2252 StateRepository                             
ibmpmsvc.exe                  2280 IBMPMSVC                                    
svchost.exe                   2296 camsvc                                      
svchost.exe                   2384 NlaSvc                                      
svchost.exe                   2512 SysMain                                     
svchost.exe                   2532 Themes                                      
Memory Compression            2604 N/A                                         
svchost.exe                   2624 AudioEndpointBuilder                        
svchost.exe                   2632 FontCache                                   
svchost.exe                   2648 netprofm                                    
svchost.exe                   2892 Audiosrv                                    
svchost.exe                   3012 Dnscache                                    
svchost.exe                   3024 DusmSvc                                     
svchost.exe                   3036 Wcmsvc                                      
svchost.exe                   2060 BFE, mpssvc                                 
svchost.exe                   3296 RmSvc                                       
svchost.exe                   3356 WlanSvc                                     
svchost.exe                   3424 ShellHWDetection                            
spoolsv.exe                   3524 Spooler                                     
svchost.exe                   3608 Winmgmt                                     
svchost.exe                   3656 WbioSrvc                                    
svchost.exe                   3684 iphlpsvc                                    
svchost.exe                   3752 LanmanWorkstation                           
HidMonitorSvc.exe             3812 ApHidMonitorService                         
mDNSResponder.exe             3844 Bonjour Service                             
IntelCpHDCPSvc.exe            3868 cplspcon                                    
svchost.exe                   3904 CryptSvc                                    
CxAudMsg64.exe                3912 CxAudMsg                                    
CxUtilSvc.exe                 3944 CxUtilSvc                                   
svchost.exe                   3988 DeviceAssociationService                    
svchost.exe                   4020 DiagTrack                                   
EvtEng.exe                    4072 EvtEng                                      
Ext2Srv.exe                   4080 Ext2Srv                                     
svchost.exe                   4088 DPS                                         
svchost.exe                   2400 IKEEXT                                      
Lenovo.Modern.ImControlle     2392 ImControllerService                         
ibtsiva.exe                   3720 ibtsiva                                     
TPMProvisioningService.ex     4104 Intel(R) TPM Provisioning Service           
svchost.exe                   4136 TermService                                 
jhi_service.exe               4248 jhi_service                                 
micmute.exe                   4308 LENOVO.MICMUTE                              
nimxs.exe                     4332 mxssvr                                      
EasyResume.exe                4340 Lenovo Instant On                           
niauth_daemon.exe             4432 niauth                                      
svchost.exe                   4460 LanmanServer                                
nisvcloc.exe                  4476 NiSvcLoc                                    
nipxicms.exe                  4568 nipxicmsvc                                  
RegSrvc.exe                   4620 RegSrvc                                     
RstMwService.exe              4636 RstMwService                                
SAiAdmin.exe                  4644 SAiAdmin                                    
svchost.exe                   4656 SstpSvc                                     
tphkload.exe                  4692 TPHKLOAD                                    
SASrv.exe                     4700 SAService                                   
lkads.exe                     4712 lkClassAds                                  
valWBFPolicyService.exe       4756 valWBFPolicyService                         
niroco.exe                    4768 niroco                                      
IntelCpHeciSvc.exe            4808 cphs                                        
svchost.exe                   4820 TrkWks                                      
valWbioSyncSvc.exe            4856 valWbioSyncSvc                              
svchost.exe                   4884 WpnService                                  
dasHost.exe                   5068 N/A                                         
svchost.exe                   5116 WdiServiceHost                              
nipxism.exe                   4404 nipxirmu                                    
nimdnsResponder.exe           4608 nimDNSResponder                             
UoipService.exe               5136 IntelUSBoverIP                              
lktsrv.exe                    5312 lkTimeSync                                  
nidmsrv.exe                   5320 NIDomainService                             
niDiscSvc.exe                 5436 NINetworkDiscovery                          
svchost.exe                   5488 RasMan                                      
svchost.exe                   6108 SSDPSRV                                     
WmiPrvSE.exe                  6260 N/A                                         
unsecapp.exe                  6388 N/A                                         
svchost.exe                   7868 StorSvc                                     
svchost.exe                   8148 CDPSvc                                      
DolbyDAX2API.exe              6760 Dolby DAX2 API Service                      
SgrmBroker.exe                2324 SgrmBroker                                  
svchost.exe                   7080 UsoSvc                                      
svchost.exe                   1288 wscsvc                                      
SearchIndexer.exe             1928 WSearch                                     
tpnumlkd.exe                  1428 N/A                                         
tposd.exe                     6756 N/A                                         
shtctky.exe                   1204 N/A                                         
SensorDBSynch.exe             2360 N/A                                         
conhost.exe                    648 N/A                                         
sihost.exe                    5472 N/A                                         
svchost.exe                   5092 CDPUserSvc_138d35                           
svchost.exe                   1432 WpnUserService_138d35                       
taskhostw.exe                 7252 N/A                                         
svchost.exe                   4164 AppXSvc                                     
PresentationFontCache.exe     3436 FontCache3.0.0.0                            
Apoint.exe                    2684 N/A                                         
svchost.exe                   1276 TokenBroker                                 
svchost.exe                   4596 TabletInputService                          
ctfmon.exe                    7920 N/A                                         
explorer.exe                  7976 N/A                                         
igfxEM.exe                    4204 N/A                                         
svchost.exe                   2884 Appinfo                                     
ApMsgFwd.exe                  8132 N/A                                         
svchost.exe                   7592 PcaSvc                                      
svchost.exe                   4360 cbdhsvc_138d35                              
ApntEx.exe                    2496 N/A                                         
conhost.exe                   6636 N/A                                         
StartMenuExperienceHost.e     8276 N/A                                         
RuntimeBroker.exe             8380 N/A                                         
SearchApp.exe                 8616 N/A                                         
RuntimeBroker.exe             8776 N/A                                         
svchost.exe                   9112 LicenseManager                              
YourPhone.exe                 6332 N/A                                         
RuntimeBroker.exe             9732 N/A                                         
TextInputHost.exe            10012 N/A                                         
RuntimeBroker.exe            10148 N/A                                         
SecurityHealthSystray.exe     4804 N/A                                         
SecurityHealthService.exe     7820 SecurityHealthService                       
nierserver.exe                5528 N/A                                         
ApplicationFrameHost.exe     10084 N/A                                         
CAudioFilterAgent64.exe       6860 N/A                                         
UserOOBEBroker.exe            9392 N/A                                         
Calculator.exe                5184 N/A                                         
RuntimeBroker.exe            10064 N/A                                         
svchost.exe                   8784 OneSyncSvc_138d35,                          
                                   PimIndexMaintenanceSvc_138d35,              
                                   UnistoreSvc_138d35, UserDataSvc_138d35      
ShellExperienceHost.exe       2768 N/A                                         
RuntimeBroker.exe             8504 N/A                                         
svchost.exe                   3560 InstallService                              
svchost.exe                  10608 seclogon                                    
svchost.exe                   8468 BITS                                        
dllhost.exe                   7072 N/A                                         
SearchApp.exe                10876 N/A                                         
svchost.exe                   9716 lfsvc                                       
isa.exe                      12696 Intel(R) Security Assist                    
svchost.exe                   5724 BthAvctpSvc                                 
taskhostw.exe                11892 N/A                                         
LockApp.exe                  10536 N/A                                         
RuntimeBroker.exe             1504 N/A                                         
Lenovo.Modern.ImControlle     8512 N/A                                         
Lenovo.Modern.ImControlle     8396 N/A                                         
PowerMgr.exe                  7352 N/A                                         
Microsoft.Photos.exe         12304 N/A                                         
RuntimeBroker.exe              812 N/A                                         
svchost.exe                  15052 DoSvc                                       
PCHealthCheck.exe            16216 N/A                                         
UserOOBEBroker.exe           16132 N/A                                         
svchost.exe                   3108 WinHttpAutoProxySvc                         
Lenovo.Modern.ImControlle    11348 N/A                                         
java.exe                      1648 N/A                                         
java.exe                      7828 N/A                                         
svchost.exe                   9788 DevicesFlowUserSvc_138d35                   
svchost.exe                  11156 DevicePickerUserSvc_138d35                  
dllhost.exe                  11004 N/A                                         
dasHost.exe                   1064 N/A                                         
java.exe                      7844 N/A                                         
java.exe                      6912 N/A                                         
java.exe                      8708 N/A                                         
svchost.exe                  14320 AppMgmt                                     
svchost.exe                   3276 lmhosts                                     
OneDrive.exe                 14284 N/A                                         
Code.exe                      1528 N/A                                         
Code.exe                     11564 N/A                                         
Code.exe                      5056 N/A                                         
Code.exe                     14204 N/A                                         
Code.exe                     11868 N/A                                         
Code.exe                      6248 N/A                                         
Code.exe                     13664 N/A                                         
Code.exe                     15216 N/A                                         
Code.exe                     10180 N/A                                         
java.exe                      2728 N/A                                         
conhost.exe                  12784 N/A                                         
Code.exe                      5384 N/A                                         
svchost.exe                   7568 UdkUserSvc_138d35                           
SystemSettingsBroker.exe      8664 N/A                                         
MsMpEng.exe                  11964 WinDefend                                   
NisSrv.exe                    7940 WdNisSvc                                    
conhost.exe                  15812 N/A                                         
powershell.exe               12240 N/A                                         
